nationality,player
Russia,Igor Akinfeev
Russia,Vladimir Gabulov
Russia,Andrey Lunev
Russia,Sergei Ignashevich
Russia,Mario Fernandes
Russia,Vladimir Granat
Russia,Fyodor Kudryashov
Russia,Andrei Semyonov
Russia,Igor Smolnikov
Russia,Ilya Kutepov
Russia,Aleksandr Yerokhin
Russia,Yuri Zhirkov
Russia,Daler Kuzyaev
Russia,Aleksandr Golovin
Russia,Alan Dzagoev
Russia,Roman Zobnin
Russia,Aleksandr Samedov
Russia,Yuri Gazinsky
Russia,Anton Miranchuk
Russia,Denis Cheryshev
Russia,Artyom Dzyuba
Russia,Aleksei Miranchuk
Russia,Fyodor Smolov
Saudi Arabia,Mohammed Al-Owais
Saudi Arabia,Yasser Al-Musailem
Saudi Arabia,Abdullah Al-Mayuf
Saudi Arabia,Mansoor Al-Harbi
Saudi Arabia,Yasser Al-Shahrani
Saudi Arabia,Mohammed Al-Burayk
Saudi Arabia,Motaz Hawsawi
Saudi Arabia,Osama Hawsawi
Saudi Arabia,Ali Al-Bulaihi
Saudi Arabia,Omar Othman
Saudi Arabia,Abdullah Alkhaibari
Saudi Arabia,Abdulmalek Alkhaibri
Saudi Arabia,Abdullah Otayf
Saudi Arabia,Taiseer Al-Jassam
Saudi Arabia,Hussain Al-Moqahwi
Saudi Arabia,Salman Al-Faraj
Saudi Arabia,Mohamed Kanno
Saudi Arabia,Hatan Bahbir
Saudi Arabia,Salem Al-Dawsari
Saudi Arabia,Yahia Al-Shehri
Saudi Arabia,Fahad Al-Muwallad
Saudi Arabia,Mohammad Al-Sahlawi
Saudi Arabia,Muhannad Assiri
Egypt,Essam El Hadary
Egypt,Mohamed El-Shennawy
Egypt,Sherif Ekramy
Egypt,Ahmed Fathi
Egypt,Abdallah Said
Egypt,Saad Samir
Egypt,Ayman Ashraf
Egypt,Mohamed Abdel-Shafy
Egypt,Ahmed Hegazi
Egypt,Ali Gabr
Egypt,Ahmed Elmohamady
Egypt,Omar Gaber
Egypt,Tarek Hamed
Egypt,Mahmoud Shikabala
Egypt,Sam Morsy
Egypt,Mohamed Elneny
Egypt,Mahmoud Kahraba
Egypt,Ramadan Sobhi
Egypt,Trezeguet
Egypt,Amr Warda
Egypt,Marwan Mohsen
Egypt,Mohamed Salah
Egypt,Mahmoud Elwensh
Uruguay,Fernando Muslera
Uruguay,Martin Silva
Uruguay,Martin Campana
Uruguay,Diego Godin
Uruguay,Sebastian Coates
Uruguay,Jose Maria Gimenez
Uruguay,Maximiliano Pereira
Uruguay,Gaston Silva
Uruguay,Martin Caceres
Uruguay,Guillermo Varela
Uruguay,Nahitan Nandez
Uruguay,Lucas Torreira
Uruguay,Matias Vecino
Uruguay,Rodrigo Bentancur
Uruguay,Carlos Sanchez
Uruguay,Giorgian De Arrascaeta
Uruguay,Diego Laxalt
Uruguay,Cristian Rodriguez
Uruguay,Jonathan Urretaviscaya
Uruguay,Cristhian Stuani
Uruguay,Maximiliano Gomez
Uruguay,Edinson Cavani
Uruguay,Luis Suarez
Portugal,Anthony Lopes
Portugal,Beto
Portugal,Rui Patricio
Portugal,Bruno Alves
Portugal,Cedric Soares
Portugal,Jose Fonte
Portugal,Mario Rui
Portugal,Pepe
Portugal,Raphael Guerreiro
Portugal,Ricardo Pereira
Portugal,Ruben Dias
Portugal,Adrien Silva
Portugal,Bruno Fernandes
Portugal,Joao Mario
Portugal,Joao Moutinho
Portugal,Manuel Fernandes
Portugal,William Carvalho
Portugal,Andre Silva
Portugal,Bernardo Silva
Portugal,Cristiano Ronaldo
Portugal,Gelson Martins
Portugal,Goncalo Guedes
Portugal,Ricardo Quaresma
Spain,David de Gea
Spain,Pepe Reina
Spain,Kepa Arrizabalaga
Spain,Dani Carvajal
Spain,Alvaro Odriozola
Spain,Gerard Pique
Spain,Sergio Ramos
Spain,Nacho
Spain,Cesar Azpilicueta
Spain,Jordi Alba
Spain,Nacho Monreal
Spain,Sergio Busquets
Spain,Saul Niquez
Spain,Koke
Spain,Thiago Alcantara
Spain,Andres Iniesta
Spain,David Silva
Spain,Isco
Spain,Marcio Asensio
Spain,Lucas Vazquez
Spain,Iago Aspas
Spain,Rodrigo
Spain,Diego Costa
Morocco,Mounir El Kajoui
Morocco,Yassine Bounou
Morocco,Ahmad Reda Tagnaouti
Morocco,Mehdi Benatia
Morocco,Romain Saiss
Morocco,Manuel Da Costa
Morocco,Badr Benoun
Morocco,Nabil Dirar
Morocco,Achraf Hakimi
Morocco,Hamza Mendyl
Morocco,M'bark Boussoufa
Morocco,Karim El Ahmadi
Morocco,Youssef Ait Bennasser
Morocco,Sofyan Amrabat
Morocco,Younes Belhanda
Morocco,Faycal Fajr
Morocco,Amine Harit
Morocco,Khalid Boutaib
Morocco,Aziz Bouhaddouz
Morocco,Ayoub El Kaabi
Morocco,Nordin Amrabat
Morocco,Mehdi Carcela
Morocco,Hakim Ziyech
Iran,Alireza Beiranvand
Iran,Rashid Mazaheri
Iran,Amir Abedzadeh
Iran,Ramin Rezaeian
Iran,Mohammad Reza Khanzadeh
Iran,Morteza Pouraliganji
Iran,Pejman Montazeri
Iran,Seyed Majid Hosseini
Iran,Milad Mohammadi
Iran,Roozbeh Cheshmi
Iran,Saeid Ezatolahi
Iran,Masoud Shojaei
Iran,Saman Ghoddos
Iran,Mehdi Torabi
Iran,Ashkan Dejagah
Iran,Omid Ebrahimi
Iran,Ehsan Hajsafi
Iran,Vahid Amiri
Iran,Alireza Jahanbakhsh
Iran,Karim Ansarifard
Iran,Mahdi Taremi
Iran,Sardar Azmoun
Iran,Reza Ghoochannejhad
France,Alphonse Areola
France,Hugo Lloris
France,Steve Mandanda
France,Lucas Hernandez
France,Presnel Kimpembe
France,Benjamin Mendy
France,Benjamin Pavard
France,Adil Rami
France,Djibril Sidibe
France,Samuel Umtiti
France,Raphael Varane
France,N'Golo Kante
France,Blaise Matuidi
France,Steven N'Zonzi
France,Paul Pogba
France,Corentin Tolisso
France,Ousmane Dembele
France,Nabil Fekir
France,Olivier Giroud
France,Antoine Griezmann
France,Thomas Lemar
France,Kylian Mbappe
France,Florian Thauvin
Australia, Brad Jones
Australia,Mat Ryan
Australia,Danny Vukovic
Australia,Aziz Behich
Australia,Milos Degenek
Australia,Matthew Jurman
Australia,James Meredith
Australia,Josh Risdon
Australia,Trent Sainsbury
Australia,Jackson Irvine
Australia,Mile Jedinak
Australia,Robbie Kruse
Australia,Massimo Luongo
Australia,Mark Milligan
Australia,Aaron Mooy
Australia,Tom Rogic
Australia,Daniel Arzani
Australia,Tim Cahill
Australia,Tomi Juric
Australia,Mathew Leckie
Australia,Andrew Nabbout
Australia,Dimitri Petratos
Australia,Jamie Maclaren
Peru,Carlos Caceda
Peru,Jose Carvallo
Peru,Pedro Gallese
Peru,Luis Advincula
Peru,Pedro Aquino
Peru,Miguel Araujo
Peru,Andre Carrillo
Peru,Wilder Cartagena
Peru,Aldo Corzo
Peru,Christian Cueva
Peru,Jefferson Farfan
Peru,Edison Flores
Peru,Paolo Hurtado
Peru,Nilson Loyola
Peru,Andy Polo
Peru,Christian Ramos
Peru,Alberto Rodriguez
Peru,Raul Ruidiaz
Peru,Anderson Santamaria
Peru,Renato Tapia
Peru,Miguel Trauco
Peru,Yoshimar Yotun
Peru,Paolo Guerrero
Denmark,Kasper Schmeichel
Denmark,Jonas Lossl
Denmark,Frederik Ronow
Denmark,Simon Kjaer
Denmark,Andreas Christensen
Denmark,Mathias Jorgensen
Denmark,Jannik Vestergaard
Denmark,Henrik Dalsgaard
Denmark,Jens Stryger
Denmark,Jonas Knudsen
Denmark,William Kvist
Denmark,Thomas Delaney
Denmark,Lukas Lerager
Denmark,Lasse Schone
Denmark,Christian Eriksen
Denmark,Michael Krohn-Dehli
Denmark,Pione Sisto
Denmark,Martin Braithwaite
Denmark,Andreas Cornelius
Denmark,Viktor Fischer
Denmark,Yussuf Poulsen
Denmark,Nicolai Jorgensen
Denmark,Kasper Dolberg
Argentina,Nahuel Guzm
Iceland, Hannes Thor Halldorsson
Iceland,Runar Alex Runarsson
Iceland,Frederik Schram
Iceland,Kari Arnason
Iceland,Ari Freyr Skulason
Iceland,Birkir Mar Saevarsson
Iceland,Sverrir Ingi Ingason
Iceland,Hordur Magnusson
Iceland,Holmar Orn Eyjolfsson
Iceland,Ragnar Sigurdsson
Iceland,Johann Berg Gudmundsson
Iceland,Birkir Bjarnason
Iceland,Arnor Ingvi Traustason
Iceland,Emil Hallfredsson
Iceland,Gylfi Sigurdsson
Iceland,Olafur Ingi Skulason
Iceland,Rurik Gislason
Iceland,Samuel Fridjonsson
Iceland,Aron Gunnarsson
Iceland,Alfred Finnbogason
Iceland,Bjorn Bergmann Sigurdarson
Iceland,Jon Dadi Bodvarsson
Iceland,Albert Gudmundsson
Croatia,Danijel Subasic
Croatia,Lovre Kalinic
Croatia,Dominik Livakovic
Croatia,Vedran Corluka
Croatia,Domagoj Vida
Croatia,Ivan Strinic
Croatia,Dejan Lovren
Croatia,Sime Vrsaljko
Croatia,Josip Pivaric
Croatia,Tin Jedvaj
Croatia,Duje Caleta-Car
Croatia,Luka Modric
Croatia,Ivan Rakitic
Croatia,Mateo Kovacic
Croatia,Milan Badelj
Croatia,Marcelo Brozovic
Croatia,Filip Bradaric
Croatia,Mario Mandzukic
Croatia,Ivan Perisic
Croatia,Nikola Kalinic
Croatia,Andrej Kramaric
Croatia,Marko Pjaca
Croatia,Ante Rebic
Nigeria,Ikechukwu Ezenwa
Nigeria,Daniel Akpeyi
Nigeria,Francis Uzoho
Nigeria,William Troost-Ekong
Nigeria,Leon Balogun
Nigeria,Kenneth Omeruo
Nigeria,Bryan Idowu
Nigeria,Chidozie Awaziem
Nigeria,Abdullahi Shehu
Nigeria,Elderson Echiejile
Nigeria,Tyronne Ebuehi
Nigeria,John Obi Mikel
Nigeria,Ogenyi Onazi
Nigeria,John Ogu
Nigeria,Wilfred Ndidi
Nigeria,Oghenekaro Etebo
Nigeria,Joel Obi
Nigeria,Odion Ighalo
Nigeria,Ahmed Musa
Nigeria,Victor Moses
Nigeria,Alex Iwobi
Nigeria,Kelechi Iheanacho
Nigeria,Simeon Nwankwo
Brazil,Alisson
Brazil,Ederson
Brazil,Cassio
Brazil,Danilo
Brazil,Fagner
Brazil,Marcelo
Brazil,Filipe Luis
Brazil,Thiago Silva
Brazil,Marquinhos
Brazil,Miranda
Brazil,Pedro Geromel
Brazil,Casemiro
Brazil,Fernandinho
Brazil,Paulinho
Brazil,Fred
Brazil,Renato Augusto
Brazil,Philippe Coutinho
Brazil,Willian
Brazil,Douglas Costa
Brazil,Neymar
Brazil,Taison
Brazil,Gabriel Jesus
Brazil,Roberto Firmino
Switzerland,Roman Buerki
Switzerland,Yvon Mvogo
Switzerland,Yann Sommer
Switzerland,Manuel Akanji
Switzerland,Johan Djourou
Switzerland,Nico Elvedi
Switzerland,Michael Lang
Switzerland,Stephan Lichtsteiner
Switzerland,Jacques-Francois Moubandje
Switzerland,Ricardo Rodriguez
Switzerland,Fabian Schaer
Switzerland,Valon Behrami
Switzerland,Blerim Dzemaili
Switzerland,Gelson Fernandes
Switzerland,Remo Freuler
Switzerland,Xherdan Shaqiri
Switzerland,Granit Xhaka
Switzerland,Steven Zuber
Switzerland,Denis Zakaria
Switzerland,Josip Drmic
Switzerland,Breel Embolo
Switzerland,Mario Gavranovic
Switzerland,Haris Seferovic
Costa Rica,Keylor Navas
Costa Rica,Patrick Pemberton
Costa Rica,Leonel Moreira
Costa Rica,Cristian Gamboa
Costa Rica,Ian Smith
Costa Rica,Ronald Matarrita
Costa Rica,Bryan Oviedo
Costa Rica,Oscar Duarte
Costa Rica,Giancarlo Gonzalez
Costa Rica,Francisco Calvo
Costa Rica,Kendall Waston
Costa Rica,Johnny Acosta
Costa Rica,David Guzman
Costa Rica,Yeltsin Tejeda
Costa Rica,Celso Borges
Costa Rica,Randall Azofeifa
Costa Rica,Rodney Wallace
Costa Rica,Bryan Ruiz
Costa Rica,Daniel Colindres
Costa Rica,Christian Bolanos
Costa Rica,Johan Venegas
Costa Rica,Joel Campbell
Costa Rica,Marco Urena
Serbia,Vladimir Stojkovic
Serbia,Predrag Rajkovic
Serbia,Marko Dmitrovic
Serbia,Aleksandar Kolarov
Serbia,Antonio Rukavina
Serbia,Milan Rodic
Serbia,Branislav Ivanovic
Serbia,Uros Spajic
Serbia,Milos Veljkovic
Serbia,Dusko Tosic
Serbia,Nikola Milenkovic
Serbia,Nemanja Matic
Serbia,Luka Milivojevic
Serbia,Marko Grujic
Serbia,Dusan Tadic
Serbia,Andrija Zivkovic
Serbia,Filip Kostic
Serbia,Nemanja Radonjic
Serbia,Sergej Milinkovic-Savic
Serbia,Adem Ljajic
Serbia,Aleksandar Mitrovic
Serbia,Aleksandar Prijovic
Serbia,Luka Jovic
Germany,Manuel Neuer
Germany,Marc-Andre ter Stegen
Germany,Kevin Trapp
Germany,Jerome Boateng
Germany,Matthias Ginter
Germany,Jonas Hector
Germany,Mats Hummels
Germany,Joshua Kimmich
Germany,Marvin Plattenhardt
Germany,Antonio Rudiger
Germany,Niklas Sule
Germany,Julian Brandt
Germany,Julian Draxler
Germany,Mario Gomez
Germany,Leon Goretzka
Germany,Ilkay Gundogan
Germany,Sami Khedira
Germany,Toni Kroos
Germany,Thomas Muller
Germany,Mesut Ozil
Germany,Marco Reus
Germany,Sebastian Rudy
Germany,Timo Werner
Mexico,Jesus Corona
Mexico,Alfredo Talavera
Mexico,Guillermo Ochoa
Mexico,Hugo Ayala
Mexico,Carlos Salcedo
Mexico,Diego Reyes
Mexico,Miguel Layun
Mexico,Hector Moreno
Mexico,Edson Alvarez
Mexico,Rafael Marquez
Mexico,Jonathan dos Santos
Mexico,Marco Fabian
Mexico,Giovani dos Santos
Mexico,Hector Herrera
Mexico,Andres Guardado
Mexico,Raul Jimenez
Mexico,Carlos Vela
Mexico,Javier Hernandez
Mexico,Jesus Corona
Mexico,Oribe Peralta
Mexico,Javier Aquino
Mexico,Hirving Lozano
